====================================================================================================
Scenario stats (kernel RTT p99, app p99 mean, throughput mean)
====================================================================================================
file                                                              | ker p99(ms) | app p99(ms) |  thr(msg/s) | steps
----------------------------------------------------------------------------------------------------
logs/eda_baseline.jsonl                                           |       20.87 |     1013.21 |      390.00 | 104
logs/eda_rl.jsonl                                                 |      775.93 |      774.33 |      157.01 | 843
logs/eda_rl2.jsonl                                                |     4089.94 |    19323.76 |       46.61 | 143
logs/eda_rl_torch_online.jsonl                                    |     1094.16 |     2903.06 |       94.24 | 149
logs/emqx_flow_control/congestion.jsonl                           |     1728.68 |    50803.47 |      181.67 | 492
logs/emqx_flow_control/dynamic.jsonl                              |      751.34 |     1451.11 |      196.03 | 227
logs/emqx_flow_control/normal.jsonl                               |        3.23 |      269.06 |      193.61 | 1299
logs/kernel_only/eda_rl_kernel_20250917_135519.jsonl              |     1821.21 |    14500.43 |       25.04 | 195
logs/kernel_only/eda_rl_kernel_20250917_140649.jsonl              |      898.70 |     2006.23 |       38.41 | 200
logs/kernel_only/eda_rl_kernel_20250917_141924.jsonl              |      583.08 |     1070.50 |       47.26 | 502
logs/kernel_only/eda_rl_kernel_20250917_144754.jsonl              |      928.44 |     1184.50 |       41.96 | 368
logs/kernel_only/eda_rl_kernel_20250917_150422.jsonl              |      533.71 |     1134.07 |       28.71 | 489
logs/kernel_only/eda_rl_kernel_20250917_154747.jsonl              |     1183.81 |     3742.08 |       16.14 | 1797
logs/kernel_only/eda_rl_kernel_20250917_160003.jsonl              |      228.37 |      578.20 |       21.87 | 250
logs/kernel_only/eda_rl_kernel_20250917_161105.jsonl              |       50.23 |      665.40 |       34.13 | 507
logs/kernel_only/eda_rl_kernel_20250917_165147.jsonl              |     1157.38 |     2113.62 |       26.13 | 505
logs/kernel_only/eda_rl_kernel_20250917_173510.jsonl              |      474.61 |      584.49 |       86.64 | 299
logs/kernel_only/eda_rl_kernel_20250917_190146.jsonl              |     4136.87 |    32782.16 |        6.80 | 8540
logs/kernel_only/eda_rl_kernel_20250917_190146_filtered.jsonl     |     3872.82 |    14300.63 |        9.37 | 1386
logs/kernel_only/eda_rl_kernel_20250917_235313.jsonl              |     1065.83 |     2582.59 |       54.91 | 154
logs/kernel_only/eda_rl_kernel_20250918_000051.jsonl              |      502.46 |     1347.23 |       28.00 | 287
logs/kernel_only/eda_rl_kernel_20250918_001323.jsonl              |     1339.97 |     9954.47 |       30.57 | 107
